TrackID,ParticleName,Energy
1,Th234,0
4,e-,0.0122463
16,opticalphoton,3.10925e-06
15,opticalphoton,4.03096e-06
14,opticalphoton,3.1916e-06
13,opticalphoton,3.01777e-06
12,opticalphoton,3.04195e-06
11,opticalphoton,3.19083e-06
10,opticalphoton,3.3483e-06
9,e-,8.783e-05
8,e-,8.783e-05
7,e-,9.56e-05
6,e-,9.56e-05
5,e-,0.00050894
3,anti_nu_e,0.167122
2,Pa234[73.920X],1.68948e-07
1,Th234,0
4,e-,0.0591654
53,opticalphoton,3.05086e-06
52,opticalphoton,3.32169e-06
51,opticalphoton,3.81814e-06
50,opticalphoton,3.72233e-06
49,opticalphoton,3.06895e-06
48,opticalphoton,3.74059e-06
47,opticalphoton,3.3735e-06
46,opticalphoton,3.55649e-06
45,opticalphoton,3.55691e-06
44,opticalphoton,3.30273e-06
43,opticalphoton,3.21157e-06
42,opticalphoton,3.80345e-06
41,opticalphoton,3.76689e-06
40,opticalphoton,3.08276e-06
39,opticalphoton,3.7975e-06
38,opticalphoton,3.21642e-06
37,opticalphoton,3.79255e-06
36,opticalphoton,3.79272e-06
35,opticalphoton,3.66101e-06
34,opticalphoton,3.23368e-06
33,opticalphoton,3.75422e-06
32,opticalphoton,2.67765e-06
31,opticalphoton,3.90234e-06
30,opticalphoton,3.80122e-06
29,e-,8.783e-05
28,e-,8.783e-05
27,e-,8.783e-05
26,e-,8.783e-05
25,e-,8.783e-05
24,e-,9.491e-05
23,e-,8.783e-05
22,e-,8.783e-05
21,e-,8.783e-05
20,e-,9.491e-05
19,e-,8.783e-05
18,e-,8.783e-05
17,e-,8.849e-05
16,e-,8.849e-05
54,opticalphoton,2.17237e-06
15,e-,8.849e-05
14,e-,8.849e-05
13,e-,8.849e-05
12,e-,8.783e-05
11,e-,3.705e-05
10,e-,6.57e-05
9,e-,6.616e-05
8,e-,0.00050894
55,opticalphoton,2.79777e-06
7,e-,0.00050898
6,e-,0.00050898
56,opticalphoton,3.75073e-06
5,e-,0.00047882
3,anti_nu_e,0.120203
2,Pa234[73.920X],1.23808e-07
1,Th234,0
4,e-,0.00229947
5,opticalphoton,3.46877e-06
3,anti_nu_e,0.177069
2,Pa234[73.920X],1.15018e-07
1,Th234,0
4,e-,0.0472343
47,opticalphoton,2.21776e-06
46,opticalphoton,4.05409e-06
45,opticalphoton,2.86736e-06
44,opticalphoton,3.36221e-06
43,opticalphoton,3.62858e-06
42,opticalphoton,3.26044e-06
41,opticalphoton,3.34738e-06
40,opticalphoton,3.46326e-06
39,opticalphoton,3.65436e-06
38,opticalphoton,3.69052e-06
37,opticalphoton,3.61557e-06
36,opticalphoton,2.95123e-06
35,opticalphoton,3.76932e-06
34,opticalphoton,3.29002e-06
33,opticalphoton,3.39014e-06
32,opticalphoton,3.52282e-06
31,opticalphoton,3.775e-06
30,opticalphoton,2.48376e-06
29,opticalphoton,3.77724e-06
28,opticalphoton,3.89129e-06
27,opticalphoton,3.88813e-06
26,e-,9.491e-05
25,e-,8.783e-05
24,e-,8.783e-05
23,e-,8.783e-05
22,e-,9.488e-05
21,e-,8.783e-05
20,e-,8.072e-05
19,e-,9.494e-05
18,e-,8.783e-05
17,e-,9.56e-05
16,e-,8.849e-05
15,e-,8.852e-05
14,e-,8.849e-05
13,e-,9.56e-05
12,e-,8.849e-05
11,e-,9.56e-05
48,opticalphoton,2.86682e-06
10,e-,8.141e-05
9,e-,8.849e-05
8,e-,8.849e-05
7,e-,2.925e-05
6,e-,0.0004939
5,e-,0.00050898
3,anti_nu_e,0.132134
2,Pa234[73.920X],1.60158e-07
1,Th234,0
4,e-,0.0138572
20,opticalphoton,2.48864e-06
19,opticalphoton,3.31476e-06
18,opticalphoton,3.42946e-06
17,opticalphoton,3.82397e-06
16,opticalphoton,3.3956e-06
15,opticalphoton,2.69714e-06
14,opticalphoton,2.84498e-06
13,opticalphoton,2.69083e-06
12,opticalphoton,3.93336e-06
11,e-,8.783e-05
10,e-,8.783e-05
9,e-,8.783e-05
8,e-,9.491e-05
7,e-,8.783e-05
6,e-,8.852e-05
5,e-,0.00050894
3,anti_nu_e,0.0731314
2,Pa234[166.300X],1.34751e-08
30,e-,0.0712748
100,opticalphoton,3.57998e-06
99,opticalphoton,3.75407e-06
98,opticalphoton,2.76548e-06
97,opticalphoton,3.69191e-06
96,opticalphoton,3.46e-06
95,opticalphoton,3.90505e-06
94,opticalphoton,3.671e-06
93,opticalphoton,2.34271e-06
92,opticalphoton,3.89389e-06
91,opticalphoton,3.10288e-06
90,opticalphoton,3.77606e-06
89,opticalphoton,2.71608e-06
88,opticalphoton,3.56804e-06
87,opticalphoton,3.83128e-06
86,opticalphoton,2.85919e-06
85,opticalphoton,2.96442e-06
84,opticalphoton,3.93558e-06
83,opticalphoton,3.14764e-06
82,opticalphoton,2.64842e-06
81,opticalphoton,3.6763e-06
80,opticalphoton,3.38025e-06
79,opticalphoton,2.22514e-06
78,opticalphoton,3.30942e-06
77,opticalphoton,3.6398e-06
76,opticalphoton,3.92983e-06
75,opticalphoton,3.89864e-06
74,opticalphoton,3.59308e-06
73,opticalphoton,2.79547e-06
72,opticalphoton,3.85152e-06
71,opticalphoton,3.36957e-06
70,e-,8.783e-05
69,e-,8.783e-05
68,e-,9.494e-05
67,e-,9.491e-05
66,e-,8.783e-05
101,opticalphoton,2.47712e-06
65,e-,8.783e-05
64,e-,9.494e-05
63,e-,8.783e-05
62,e-,8.783e-05
61,e-,8.783e-05
60,e-,8.783e-05
59,e-,9.491e-05
58,e-,9.494e-05
57,e-,8.783e-05
56,e-,9.494e-05
55,e-,9.494e-05
102,opticalphoton,3.5742e-06
54,e-,8.783e-05
53,e-,9.494e-05
52,e-,8.849e-05
51,e-,9.56e-05
50,e-,8.849e-05
49,e-,8.849e-05
48,e-,8.849e-05
47,e-,8.849e-05
46,e-,8.849e-05
45,e-,8.849e-05
44,e-,8.849e-05
43,e-,9.557e-05
42,e-,9.56e-05
41,e-,8.849e-05
40,e-,8.852e-05
39,e-,2.925e-05
38,e-,8.783e-05
37,e-,3.702e-05
36,e-,8.849e-05
35,e-,2.925e-05
34,e-,6.57e-05
33,e-,0.00050894
103,opticalphoton,3.40748e-06
32,e-,0.00047882
31,e-,0.00047882
29,e-,0.00362619
107,opticalphoton,3.16459e-06
106,e-,8.783e-05
105,e-,8.849e-05
104,e-,2.311e-05
28,gamma,0.0132994
111,e-,9.494e-05
110,e-,8.783e-05
109,e-,0.00161254
114,e-,9.56e-05
113,e-,9.56e-05
112,e-,0.00050894
108,e-,0.0114554
129,opticalphoton,3.51867e-06
128,opticalphoton,3.51429e-06
127,opticalphoton,3.96599e-06
126,opticalphoton,3.74686e-06
125,opticalphoton,3.25101e-06
124,opticalphoton,2.64124e-06
123,opticalphoton,3.63024e-06
122,opticalphoton,2.16116e-06
121,opticalphoton,2.67167e-06
120,e-,8.783e-05
119,e-,9.494e-05
118,e-,9.557e-05
117,e-,9.557e-05
116,e-,9.56e-05
115,e-,2.925e-05
27,e-,0.000267706
26,gamma,0.00307656
134,e-,8.849e-05
133,e-,9.491e-05
132,e-,2.925e-05
131,e-,0.00156897
137,opticalphoton,3.42807e-06
136,opticalphoton,3.82385e-06
135,e-,9.494e-05
130,e-,0.00123256
138,e-,8.849e-05
25,e-,7.74813e-05
24,e-,0.000162549
23,e-,7.18465e-05
22,e-,0.000531174
21,Pa234[73.920X],1.78727e-07
1,Th234,0
4,e-,0.125686
119,opticalphoton,2.89936e-06
118,opticalphoton,3.11607e-06
117,opticalphoton,3.87113e-06
116,opticalphoton,3.64656e-06
115,opticalphoton,3.79872e-06
114,opticalphoton,3.26351e-06
113,opticalphoton,3.42167e-06
112,opticalphoton,3.24879e-06
111,opticalphoton,2.22252e-06
110,opticalphoton,3.63181e-06
109,opticalphoton,3.06451e-06
108,opticalphoton,2.6185e-06
107,opticalphoton,3.05447e-06
106,opticalphoton,3.35648e-06
105,opticalphoton,3.03847e-06
104,opticalphoton,3.82198e-06
103,opticalphoton,3.56139e-06
102,opticalphoton,3.19557e-06
101,opticalphoton,2.83533e-06
100,opticalphoton,3.51542e-06
99,opticalphoton,3.40028e-06
98,opticalphoton,3.77719e-06
97,opticalphoton,3.78707e-06
96,opticalphoton,3.30152e-06
95,opticalphoton,3.61705e-06
94,opticalphoton,3.83743e-06
93,opticalphoton,2.52767e-06
92,opticalphoton,3.69231e-06
91,opticalphoton,2.3559e-06
90,opticalphoton,2.76193e-06
89,opticalphoton,3.69488e-06
88,opticalphoton,2.87623e-06
87,opticalphoton,3.64749e-06
86,opticalphoton,3.62562e-06
85,opticalphoton,3.38347e-06
84,opticalphoton,3.64584e-06
83,opticalphoton,2.69887e-06
82,opticalphoton,2.99446e-06
81,opticalphoton,3.88013e-06
80,opticalphoton,3.57993e-06
79,opticalphoton,2.46631e-06
78,opticalphoton,3.69536e-06
77,opticalphoton,3.11667e-06
76,opticalphoton,2.84603e-06
75,opticalphoton,2.8856e-06
74,opticalphoton,2.84041e-06
73,opticalphoton,3.63866e-06
72,opticalphoton,3.2868e-06
71,e-,8.783e-05
70,e-,8.783e-05
69,e-,9.494e-05
68,e-,9.491e-05
67,e-,9.494e-05
66,e-,8.783e-05
65,e-,8.783e-05
64,e-,8.783e-05
63,e-,9.494e-05
